Drug_A,Drug_B,Level,DrugA_SMILES,DrugA_Formula,DrugB_SMILES,DrugB_Formula
metformin,fentanyl,Unknown,CN(C)C(=N)NC(N)=N,C4H11N5,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1,C22H28N2O
glimepiride,pioglitazone,Unknown,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O,C24H34N4O5S,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,C19H20N2O3S
bleomycin,famotidine,Unknown,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,C55H84N17O21S3,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3
rosuvastatin,aripiprazole,Unknown,CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,C22H28FN3O6S,ClC1=CC=CC(N2CCN(CCCCOC3=CC4=C(CCC(=O)N4)C=C3)CC2)=C1Cl,C23H27Cl2N3O2
minoxidil,labetalol,Unknown,NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1,C9H15N5O,CC(CCC1=CC=CC=C1)NCC(O)C1=CC(C(N)=O)=C(O)C=C1,C19H24N2O3
fluvastatin,finasteride,Unknown,CC(C)N1C(\C=C\C(O)CC(O)CC(O)=O)=C(C2=CC=CC=C12)C1=CC=C(F)C=C1,C24H26FNO4,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,C23H36N2O2
levothyroxine,desloratadine,Unknown,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,C15H11I4NO4,ClC1=CC2=C(C=C1)C(=C1CCNCC1)C1=C(CC2)C=CC=N1,C19H19ClN2
nystatin,cefadroxil,Unknown,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C47H75NO17,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,C16H17N3O5S
temazepam,carboplatin,Unknown,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,C16H13ClN2O2,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],C6H12N2O4Pt
lidocaine,cyclophosphamide,Unknown,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,C14H22N2O,ClCCN(CCCl)P1(=O)NCCCO1,C7H15Cl2N2O2P
acetaminophen,rosiglitazone,Unknown,CC(=O)NC1=CC=C(O)C=C1,C8H9NO2,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,C18H19N3O3S
tamoxifen,diazepam,Unknown,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,C26H29NO,CN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1,C16H13ClN2O
mitomycin,metoclopramide,Unknown,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,C15H18N4O5,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,C14H22ClN3O2
fluoxetine,disulfiram,Unknown,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,C17H18F3NO,CCN(CC)C(=S)SSC(=S)N(CC)CC,C10H20N2S4
itraconazole,acetylcysteine,Unknown,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C35H38Cl2N8O4,CC(=O)N[C@@H](CS)C(O)=O,C5H9NO3S
imatinib,ceftriaxone,Unknown,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,C29H31N7O,[H][C@]12SCC(CSC3=NC(=O)C(=O)NN3C)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC)\C1=CSC(N)=N1)C(O)=O,C18H18N8O7S3
lamotrigine,prednisolone,Unknown,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,C9H7Cl2N5,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H28O5
temazepam,atovaquone,Unknown,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1,C16H13ClN2O2,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,C22H19ClO3
sildenafil,ketotifen,Unknown,CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1,C22H30N6O4S,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,C19H19NOS
vancomycin,saquinavir,Unknown,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)C2=CC=C(OC3=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@H]4C[C@](C)(N)[C@H](O)[C@H](C)O4)C4=CC(=C3)[C@@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N[C@@H]1C3=CC(=C(O)C=C3)C3=C(O)C=C(O)C=C3[C@H](NC(=O)[C@@H](NC1=O)[C@H](O)C1=CC(Cl)=C(O4)C=C1)C(O)=O)C(Cl)=C2,C66H75Cl2N9O24,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(N)=O)NC(=O)C1=NC3=C(C=CC=C3)C=C1)[C@@H](C2)C(=O)NC(C)(C)C,C38H50N6O5
oseltamivir,famotidine,Unknown,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,C16H28N2O4,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3
triamcinolone,fludarabine,Unknown,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H27FO6,NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,C10H12FN5O4
doxazosin,pioglitazone,Unknown,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=CC=CC=C2O1,C23H25N5O5,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,C19H20N2O3S
mirtazapine,diclofenac,Unknown,CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1,C17H19N3,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,C14H11Cl2NO2
carboplatin,acenocoumarol,Unknown,[H][N]([H])([H])[Pt]1(OC(=O)C2(CCC2)C(=O)O1)[N]([H])([H])[H],C6H12N2O4Pt,CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,C19H15NO6
lovastatin,azelastine,Unknown,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)[C@@H](C)CC,C24H36O5,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O,C22H24ClN3O
dicyclomine,gabapentin,Unknown,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,C19H35NO2,NCC1(CC(O)=O)CCCCC1,C9H17NO2
prednisone,terbinafine,Unknown,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H26O5,CN(C\C=C\C#CC(C)(C)C)CC1=CC=CC2=CC=CC=C12,C21H25N
nystatin,metoclopramide,Unknown,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\CC\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C47H75NO17,CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,C14H22ClN3O2
prochlorperazine,hydrocortisone,Unknown,CN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,C20H24ClN3S,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O5
lenalidomide,donepezil,Unknown,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,C13H13N3O3,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3
nateglinide,repaglinide,Unknown,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,C19H27NO3,CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O,C27H36N2O4
benazepril,metronidazole,Unknown,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C24H28N2O5,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3
metolazone,finasteride,Unknown,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,C16H16ClN3O3S,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,C23H36N2O2
tramadol,clotrimazole,Unknown,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,C16H25NO2,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,C22H17ClN2
tacrolimus,dipyridamole,Unknown,CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@@H]([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)OC,C44H69NO12,OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,C24H40N8O4
cisplatin,nitroglycerin,Unknown,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cl2H6N2Pt,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,C3H5N3O9
trimethoprim,famotidine,Unknown,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,C14H18N4O3,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3
dapsone,perindopril,Unknown,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,C12H12N2O2S,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,C19H32N2O5
ondansetron,felodipine,Unknown,CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,C18H19N3O,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,C18H19Cl2NO4
rosiglitazone,alendronic acid,Unknown,CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,C18H19N3O3S,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,C4H13NO7P2
raloxifene,nateglinide,Unknown,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,C28H27NO4S,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,C19H27NO3
ceftazidime,pioglitazone,Unknown,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,C22H22N6O7S2,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,C19H20N2O3S
tramadol,tetracycline,Unknown,COC1=CC=CC(=C1)C1(O)CCCCC1CN(C)C,C16H25NO2,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,C22H24N2O8
liothyronine,formoterol,Unknown,N[C@@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1)C(O)=O,C15H12I3NO4,COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1,C19H24N2O4
vincristine,methylprednisolone,Unknown,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC,C46H56N4O10,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,C22H30O5
imatinib,potassium chloride,Unknown,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,C29H31N7O,[Cl-].[K+],ClK
metronidazole,atovaquone,Unknown,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,C22H19ClO3
ampicillin,methylprednisolone,Unknown,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,C16H19N3O4S,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,C22H30O5
rofecoxib,tetracycline,Unknown,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,C17H14O4S,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,C22H24N2O8
montelukast,ketotifen,Unknown,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,C35H36ClNO3S,CN1CCC(CC1)=C1C2=C(SC=C2)C(=O)CC2=CC=CC=C12,C19H19NOS
desmopressin,lorazepam,Unknown,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,C46H64N14O12S2,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2
amphotericin b,dasatinib,Unknown,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C47H73NO17,CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1,C22H26ClN7O2S
vinorelbine,acyclovir,Unknown,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,C45H54N4O8,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,C8H11N5O3
buprenorphine,acetylsalicylic acid,Unknown,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1CC4=C5C(O[C@@H]2[C@@]35CCN1CC1CC1)=C(O)C=C4,C29H41NO4,CC(=O)OC1=CC=CC=C1C(O)=O,C9H8O4
midazolam,acetylsalicylic acid,Unknown,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,C18H13ClFN3,CC(=O)OC1=CC=CC=C1C(O)=O,C9H8O4
prednisone,etidronic acid,Unknown,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H26O5,CC(O)(P(O)(O)=O)P(O)(O)=O,C2H8O7P2
chlorpromazine,sevelamer,Unknown,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(Cl)C=C2,C17H19ClN2S,NCC=C.ClCC1CO1,C6H12ClNO
vinorelbine,triazolam,Unknown,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC,C45H54N4O8,CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=C(C=CC(Cl)=C3)N12,C17H12Cl2N4
acyclovir,isosorbide dinitrate,Unknown,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,C8H11N5O3,[H][C@]12OC[C@H](O[N+]([O-])=O)[C@@]1([H])OC[C@H]2O[N+]([O-])=O,C6H8N2O8
ticlopidine,pantoprazole,Unknown,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,C14H14ClNS,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,C16H15F2N3O4S
formoterol,rosuvastatin,Unknown,COC1=CC=C(CC(C)NCC(O)C2=CC(NC=O)=C(O)C=C2)C=C1,C19H24N2O4,CC(C)C1=NC(=NC(C2=CC=C(F)C=C2)=C1\C=C\[C@@H](O)C[C@@H](O)CC(=O)O)N(C)S(C)(=O)=O,C22H28FN3O6S
adefovir dipivoxil,miconazole,Unknown,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,C20H32N5O8P,ClC1=CC(Cl)=C(COC(CN2C=CN=C2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C18H14Cl4N2O
oseltamivir,salmeterol,Unknown,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,C16H28N2O4,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1,C25H37NO4
folic acid,amphotericin b,Unknown,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C47H73NO17
cetirizine,hydrochlorothiazide,Unknown,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C21H25ClN2O3,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,C7H8ClN3O4S2
fluconazole,benazepril,Unknown,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,[H][C@@]1(CCC2=CC=CC=C2N(CC(O)=O)C1=O)N[C@@H](CCC1=CC=CC=C1)C(=O)OCC,C24H28N2O5
cetirizine,ceftazidime,Unknown,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C21H25ClN2O3,[O-]C(=O)C1=C(CS[C@]2([H])[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C3=CSC(N)=N3)C(=O)N12)C[N+]1=CC=CC=C1,C22H22N6O7S2
lactulose,capecitabine,Unknown,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,C12H22O11,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,C15H22FN3O6
omeprazole,progesterone,Unknown,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,C17H19N3O3S,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,C21H30O2
triamcinolone,isosorbide mononitrate,Unknown,[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H27FO6,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,C6H9NO6
famotidine,hydroxyurea,Unknown,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,C8H15N7O2S3,NC(=O)NO,CH4N2O2
acetaminophen,calcium chloride,Unknown,CC(=O)NC1=CC=C(O)C=C1,C8H9NO2,[Cl-].[Cl-].[Ca++],CaCl2
olanzapine,lenalidomide,Unknown,CN1CCN(CC1)C1=NC2=CC=CC=C2NC2=C1C=C(C)S2,C17H20N4S,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,C13H13N3O3
dapsone,promethazine,Unknown,NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1,C12H12N2O2S,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,C17H20N2S
famciclovir,dexamethasone,Unknown,CC(=O)OCC(CCN1C=NC2=CN=C(N)N=C12)COC(C)=O,C14H19N5O4,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C22H29FO5
lidocaine,pioglitazone,Unknown,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,C14H22N2O,CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1,C19H20N2O3S
prednisone,acetylcysteine,Unknown,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H26O5,CC(=O)N[C@@H](CS)C(O)=O,C5H9NO3S
cyclophosphamide,scopolamine,Unknown,ClCCN(CCCl)P1(=O)NCCCO1,C7H15Cl2N2O2P,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,C17H21NO4
pravastatin,amphotericin b,Unknown,[H][C@]12[C@H](C[C@H](O)C=C1C=C[C@H](C)[C@@H]2CC[C@@H](O)C[C@@H](O)CC(O)=O)OC(=O)[C@@H](C)CC,C23H36O7,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,C47H73NO17
methimazole,docetaxel,Unknown,CN1C=CNC1=S,C4H6N2S,[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1,C43H53NO14
lorazepam,oxandrolone,Unknown,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C,C19H30O3
meloxicam,temozolomide,Unknown,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,C14H13N3O4S2,CN1N=NC2=C(N=CN2C1=O)C(N)=O,C6H6N6O2
piperacillin,prednisone,Unknown,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=CC=C1)C(O)=O,C23H27N5O7S,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H26O5
folic acid,pantoprazole,Unknown,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,C19H19N7O6,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,C16H15F2N3O4S
fluconazole,indomethacin,Unknown,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,C19H16ClNO4
